-0.95 0.11 1 0 0 0 0 0 0
-0.85 0.14 1 0 0 0 0 0 0
-0.75 0.18 1 0 0 0 0 0 0
-0.65 0.22 0.932913701043692 0.067086298956308 0 0 0 0 0
-0.55 0.28 0.624892351747461 0.375107648252539 0 0 0 0 0
-0.45 0.35 0.421019167420515 0.578980832579485 0 0 0 0 0
-0.35 0.45 0.38123574611535 0.618764253884649 0 0 0 0 0
-0.25 0.56 0.370528873680198 0.629471126319802 0 0 0 0 0
-0.15 0.71 0.359782432650636 0.640217567349364 0 0 0 0 0
-0.05 0.89 0.345494354977313 0.650277572380422 0.004228072642265 0 0 0 0
0.05 1.12 0.33072184497497 0.663700837066488 0.005577317958542 0 0 0 0
0.15 1.41 0.306401485010901 0.67310816004112 0.015367766210984 0.005122588736995 0 0 0
0.25 1.78 0.293073797866134 0.666658253911051 0.02684529881521 0.013422649407605 0 0 0
0.35 2.24 0.294271289659488 0.628686561367512 0.034314276253977 0.036765295986404 0.005187689379783 0.000774887352836 0
0.45 2.82 0.286484475560931 0.573670634818033 0.04381255444911 0.071195400979804 0.023446081140497 0.001390853051625 0
0.55 3.55 0.270552697557827 0.513388315688706 0.046530663053357 0.114775635531614 0.050230084029878 0.004522604138618 0
0.65 4.47 0.25071921332374 0.450699734172519 0.04828925723277 0.159175699767279 0.080977615987038 0.010138479516655 0
0.75 5.62 0.229614311260853 0.380354006435281 0.045976857920748 0.206895860643367 0.11740621497535 0.019382898911012 0.00036984985339
0.85 7.08 0.210820356266109 0.30246230163661 0.041803732746524 0.260658568890087 0.147478390933153 0.036331183472211 0.000445466055306
0.95 8.91 0.182492491223924 0.250899143313556 0.037490676587083 0.28838981990064 0.175980664190525 0.062843348019442 0.001903856764829
1.05 11.22 0.167191129220716 0.199142693441566 0.030901452430588 0.29528054544784 0.196519595370274 0.107700321781792 0.003264262307225
1.15 14.13 0.141697154976442 0.166265831772689 0.033649037382567 0.292944560742356 0.192836788523184 0.16582416451778 0.006782462084984
1.25 17.78 0.126832697760335 0.142364556891969 0.035591139222992 0.271382436575316 0.185963456218653 0.224742910805413 0.013122802525322
1.35 22.39 0.090552194427895 0.123221898633281 0.035939720434707 0.256712288819336 0.178636368485132 0.291987550286101 0.022949978913547
1.45 28.18 0.076753487829219 0.100749339349836 0.039180298636048 0.235081791816284 0.160290500076574 0.354410009518003 0.033534572774037
1.55 35.48 0.062668055637131 0.096872621629698 0.036327233111136 0.205854320963109 0.144729788722808 0.407492703011121 0.046055276924997
1.65 44.67 0.04554091765764 0.084700858926745 0.039092704120036 0.182432619226837 0.127381763134637 0.462619149528205 0.0582319874059
1.75 56.23 0.046665263036313 0.065212784765294 0.028983459895686 0.159409029426275 0.112175921446047 0.514516386878754 0.073037154551631
1.85 70.79 0.031571431230265 0.067629221205591 0.030057431646929 0.157801516146381 0.090018401526456 0.536463809184144 0.086458189060234
1.95 89.13 0.033778804432172 0.056186550509822 0.032106600291326 0.128426401165306 0.078703880302662 0.573079231320569 0.097718531978143
2.05 112.20 0.022909061885744 0.009045413525602 0.018090827051205 0.126635789358442 0.070728291457892 0.633863513256692 0.118727103464424
2.15 141.25 0.014200822996626 0 0.020037963932201 0.100189819661009 0.062250356068673 0.671755860910173 0.131565176431319
2.25 177.83 0.014918555955318 0 0.016902774208281 0.094136737546125 0.049173900020667 0.674587929664768 0.150280102604842
2.35 223.87 0.016591579674627 0 0.011571484550701 0.069428907304215 0.043488572167551 0.684945011638928 0.173974444663978
2.45 281.84 0.017579817170414 0 0.012196611485827 0.07317966891497 0.035512944943633 0.674626982589185 0.186903974895972
2.55 354.81 0.01212725220193 0 0.013565083424108 0.04069525027233 0.033141444928603 0.687393169317652 0.213077799855378
2.65 446.68 0 0 0.012644843675452 0.044839871189545 0.023832474960156 0.678160703257754 0.240522106917093
2.75 562.34 0 0 0.009582521477633 0.016990286307858 0.027173971868106 0.679195403592523 0.26705781675388
2.85 707.95 0 0 0.005298522711052 0.015895568133155 0.026562128045114 0.663948471199636 0.288295309911044
2.95 891.25 0 0 0 0 0.012514677708424 0.647116989061245 0.340368333230332
3.05 1122.02 0 0 0 0 0.016813816877132 0.629128706602413 0.354057476520455
3.15 1412.54 0 0 0 0 0.011501431173562 0.594764506895655 0.393734061930783
3.25 1778.28 0 0 0 0 0.013618014688001 0.556040562229464 0.430341423082535
3.35 2238.72 0 0 0 0 0.016495595836063 0.527393171725995 0.456111232437942
3.45 2818.38 0 0 0 0 0.020910814555531 0.487037847298184 0.492051338146285
3.55 3548.13 0 0 0 0 0.007796958957356 0.461895507030983 0.530307534011661
3.65 4466.84 0 0 0 0 0.01025314255923 0.451514800440248 0.538232057000522
3.75 5623.41 0 0 0 0 0.013356854838709 0.444376440092167 0.542266705069124
3.85 7079.46 0 0 0 0 0 0.387003010484793 0.612996989515207
3.95 8912.51 0 0 0 0 0 0.367646037368894 0.632353962631106
4.05 11220.18 0 0 0 0 0 0.368757106621182 0.631242893378818
4.15 14125.38 0 0 0 0 0 0.375473423011621 0.624526576988379
4.25 17782.79 0 0 0 0 0 0.370356597778308 0.629643402221692
4.35 22387.21 0 0 0 0 0 0.325992317541611 0.674007682458389
4.45 28183.83 0 0 0 0 0 0 1
4.55 35481.34 0 0 0 0 0 0 1
4.65 44668.36 0 0 0 0 0 0 1
4.75 56234.13 0 0 0 0 0 0 1
4.85 70794.58 0 0 0 0 0 0 1
4.95 89125.09 0 0 0 0 0 0 1
