norm, gamma, chi2
0.0, 1.6, 5.114353599260552
0.21052631578947367, 1.6, 5.111253621178632
0.42105263157894735, 1.6, 5.108155666745267
0.631578947368421, 1.6, 5.105059735817637
0.8421052631578947, 1.6, 5.101965828252376
1.0526315789473684, 1.6, 5.098873943899683
1.263157894736842, 1.6, 5.095784082612368
1.4736842105263157, 1.6, 5.092696244246156
1.6842105263157894, 1.6, 5.089610428646171
1.894736842105263, 1.6, 5.086526635676352
2.1052631578947367, 1.6, 5.083444865179638
2.3157894736842106, 1.6, 5.080365117010993
2.526315789473684, 1.6, 5.07728739102568
2.7368421052631575, 1.6, 5.07421168707609
2.9473684210526314, 1.6, 5.071138005013697
3.1578947368421053, 1.6, 5.068066344690553
3.3684210526315788, 1.6, 5.064996705962843
3.578947368421052, 1.6, 5.061929088677506
3.789473684210526, 1.6, 5.058863492695436
4.0, 1.6, 5.05579991786454
0.0, 1.6517241379310346, 5.114353599260552
0.21052631578947367, 1.6517241379310346, 5.110171705217745
0.42105263157894735, 1.6517241379310346, 5.105993062991277
0.631578947368421, 1.6517241379310346, 5.101817672281351
0.8421052631578947, 1.6517241379310346, 5.097645532779128
1.0526315789473684, 1.6517241379310346, 5.093476644183429
1.263157894736842, 1.6517241379310346, 5.089311006182478
1.4736842105263157, 1.6517241379310346, 5.085148618475021
1.6842105263157894, 1.6517241379310346, 5.080989480751615
1.894736842105263, 1.6517241379310346, 5.07683359270881
2.1052631578947367, 1.6517241379310346, 5.072680954040404
2.3157894736842106, 1.6517241379310346, 5.068531564436942
2.526315789473684, 1.6517241379310346, 5.064385423598177
2.7368421052631575, 1.6517241379310346, 5.060242531213841
2.9473684210526314, 1.6517241379310346, 5.056102886979547
3.1578947368421053, 1.6517241379310346, 5.051966490591503
3.3684210526315788, 1.6517241379310346, 5.047833341741937
3.578947368421052, 1.6517241379310346, 5.043703440126414
3.789473684210526, 1.6517241379310346, 5.0395767854370295
4.0, 1.6517241379310346, 5.035453377374113
0.0, 1.703448275862069, 5.114353599260552
0.21052631578947367, 1.703448275862069, 5.108680319470224
0.42105263157894735, 1.703448275862069, 5.103012443385135
0.631578947368421, 1.703448275862069, 5.097349970338918
0.8421052631578947, 1.703448275862069, 5.091692899662597
1.0526315789473684, 1.703448275862069, 5.0860412306859875
1.263157894736842, 1.703448275862069, 5.0803949627369045
1.4736842105263157, 1.703448275862069, 5.07475409514951
1.6842105263157894, 1.703448275862069, 5.069118627251932
1.894736842105263, 1.703448275862069, 5.06348855837268
2.1052631578947367, 1.703448275862069, 5.057863887844291
2.3157894736842106, 1.703448275862069, 5.052244614998404
2.526315789473684, 1.703448275862069, 5.046630739163239
2.7368421052631575, 1.703448275862069, 5.041022259670796
2.9473684210526314, 1.703448275862069, 5.0354191758540825
3.1578947368421053, 1.703448275862069, 5.029821487039967
3.3684210526315788, 1.703448275862069, 5.024229192564341
3.578947368421052, 1.703448275862069, 5.0186422917589315
3.789473684210526, 1.703448275862069, 5.013060783951152
4.0, 1.703448275862069, 5.007484668477028
0.0, 1.7551724137931035, 5.114353599260552
0.21052631578947367, 1.7551724137931035, 5.106616039859611
0.42105263157894735, 1.7551724137931035, 5.098887734456587
0.631578947368421, 1.7551724137931035, 5.091168681523898
0.8421052631578947, 1.7551724137931035, 5.08345887952912
1.0526315789473684, 1.7551724137931035, 5.075758326940121
1.263157894736842, 1.7551724137931035, 5.068067022217788
1.4736842105263157, 1.7551724137931035, 5.06038496383322
1.6842105263157894, 1.7551724137931035, 5.052712150256019
1.894736842105263, 1.7551724137931035, 5.045048579951597
2.1052631578947367, 1.7551724137931035, 5.03739425139082
2.3157894736842106, 1.7551724137931035, 5.029749163040458
2.526315789473684, 1.7551724137931035, 5.022113313373258
2.7368421052631575, 1.7551724137931035, 5.014486700855009
2.9473684210526314, 1.7551724137931035, 5.006869323961057
3.1578947368421053, 1.7551724137931035, 4.999261181158059
3.3684210526315788, 1.7551724137931035, 4.991662270924499
3.578947368421052, 1.7551724137931035, 4.984072591723615
3.789473684210526, 1.7551724137931035, 4.976492142034536
4.0, 1.7551724137931035, 4.9689209203279745
0.0, 1.806896551724138, 5.114353599260552
0.21052631578947367, 1.806896551724138, 5.103747667141552
0.42105263157894735, 1.806896551724138, 5.093158003296669
0.631578947368421, 1.806896551724138, 5.082584604088434
0.8421052631578947, 1.806896551724138, 5.072027465879636
1.0526315789473684, 1.806896551724138, 5.061486585032128
1.263157894736842, 1.806896551724138, 5.0509619579105705
1.4736842105263157, 1.806896551724138, 5.040453580878105
1.6842105263157894, 1.806896551724138, 5.029961450301085
1.894736842105263, 1.806896551724138, 5.019485562550658
2.1052631578947367, 1.806896551724138, 5.009025913994559
2.3157894736842106, 1.806896551724138, 4.998582501005618
