taunn, prob
-0.05641652290939339, 0.0001993638885515736
-0.034282311338714594, 0.01620559507081154
-0.011744926515382281, 0.01015375719513223
0.011316583536399638, 0.07329068483017931
0.03570219942847519, 0.12965207844559679
0.05743960363996342, 0.22749305544252607
0.08050111369174534, 0.3107025069215199
0.10468075756421968, 0.4513009591567183
0.114045128312519, 0.557999756242932
0.128530043716944, 0.4744144035026041
0.150559185894507, 0.39991611889144263
0.16939275243679558, 0.3269130763847059
0.19449835087953088, 0.3608856378419736
0.2189700073792843, 0.3707487182224005
0.23102987930246727, 0.3482429727046332
0.2550348147654584, 0.44687133783101896
0.27278019750010873, 0.4362625808745131
0.2964407078129758, 0.4537066697519876
0.32219771903964123, 0.5249008003403182
0.3446602288303382, 0.5147453326399107
0.3696784730683318, 0.5959300040449635
0.3912324991297158, 0.6450898216836496
0.4120103206861102, 0.765580019748584
0.4343683995102361, 0.7750493418885513
0.4577548059024604, 0.7864098064546203
0.4641607809168443, 0.893917883320583
0.4851257900548278, 0.9238265065914666
0.506863194266316, 1.0140787101245952
0.5304626223157173, 1.0972987434691301
0.542255439955833, 1.2358022358994862
0.566589825562421, 1.3376365479703178
0.59292087870596, 1.541977434321872
0.6156080135945635, 1.5762815035572206
0.6394515517649845, 1.745394332710613
0.6611320334370422, 1.8092272688737703
0.6829830637945477, 1.8256711723939882
0.7049089691846887, 1.9674373110301424
0.7233645302591863, 2.158834507940124
0.7362220918074462, 2.284342567186118
0.7395012342623616, 2.5214939576149464
0.7688871887374352, 2.8878227640036296
0.7912149234693876, 2.8629903387085296
0.8160235176160017, 2.7567885762029536
0.8279036894608588, 2.6934561109393047
0.8331449417453548, 2.4747798629534974
0.8499169490557416, 1.8044116928986464
0.8593512031678342, 1.5455907420884865
0.8774709610656627, 1.1025845778341274
0.8945724185196465, 0.8709150539559554
0.9213592494259472, 0.30613863585591616
0.9358734865214741, 0.13113723329140203
0.958934996573256, 0.06879797503017215
0.9819965066250379, 0.04068400931793814
1.006222739406708, 0.03973287566770445
1.0296919024139504, 0.004873465279924716
1.0511810367803838, 0.0
