norm, gamma, chi2
0.0, 1.6, 5.479060563565308
0.21052631578947367, 1.6, 5.4729344983458255
0.42105263157894735, 1.6, 5.4668146211414905
0.631578947368421, 1.6, 5.46070093075886
0.8421052631578947, 1.6, 5.454593426003755
1.0526315789473684, 1.6, 5.448492105681523
1.263157894736842, 1.6, 5.442396968599311
1.4736842105263157, 1.6, 5.436308013565546
1.6842105263157894, 1.6, 5.430225239385342
1.894736842105263, 1.6, 5.424148644869186
2.1052631578947367, 1.6, 5.418078228824787
2.3157894736842106, 1.6, 5.412013990059458
2.526315789473684, 1.6, 5.405955927386563
2.7368421052631575, 1.6, 5.399904039613784
2.9473684210526314, 1.6, 5.393858325552789
3.1578947368421053, 1.6, 5.38781878401316
3.3684210526315788, 1.6, 5.381785413808111
3.578947368421052, 1.6, 5.375758213749488
3.789473684210526, 1.6, 5.369737182650788
4.0, 1.6, 5.363722319322827
0.0, 1.6517241379310346, 5.479060563565308
0.21052631578947367, 1.6517241379310346, 5.471160375245073
0.42105263157894735, 1.6517241379310346, 5.4632697632661085
0.631578947368421, 1.6517241379310346, 5.455388725350293
0.8421052631578947, 1.6517241379310346, 5.447517259219997
1.0526315789473684, 1.6517241379310346, 5.439655362598156
1.263157894736842, 1.6517241379310346, 5.431803033211659
1.4736842105263157, 1.6517241379310346, 5.423960268784325
1.6842105263157894, 1.6517241379310346, 5.416127067044747
1.894736842105263, 1.6517241379310346, 5.40830342572201
2.1052631578947367, 1.6517241379310346, 5.400489342545127
2.3157894736842106, 1.6517241379310346, 5.392684815243784
2.526315789473684, 1.6517241379310346, 5.384889841552347
2.7368421052631575, 1.6517241379310346, 5.377104419201318
2.9473684210526314, 1.6517241379310346, 5.369328545928308
3.1578947368421053, 1.6517241379310346, 5.361562219466316
3.3684210526315788, 1.6517241379310346, 5.353805437552373
3.578947368421052, 1.6517241379310346, 5.346058197926107
3.789473684210526, 1.6517241379310346, 5.338320498325333
4.0, 1.6517241379310346, 5.3305923364903345
0.0, 1.703448275862069, 5.479060563565308
0.21052631578947367, 1.703448275862069, 5.468807399481973
0.42105263157894735, 1.703448275862069, 5.458569367131914
0.631578947368421, 1.703448275862069, 5.448346462036768
0.8421052631578947, 1.703448275862069, 5.438138679723103
1.0526315789473684, 1.703448275862069, 5.427946015716512
1.263157894736842, 1.703448275862069, 5.417768465550519
1.4736842105263157, 1.703448275862069, 5.407606024757136
1.6842105263157894, 1.703448275862069, 5.397458688874658
1.894736842105263, 1.703448275862069, 5.387326453441677
2.1052631578947367, 1.703448275862069, 5.37720931400167
2.3157894736842106, 1.703448275862069, 5.3671072660996355
2.526315789473684, 1.703448275862069, 5.357020305285037
