gamma, norm
2.149288521293744, 1.2844004919040795
2.144877777627137, 1.2090592334494779
2.148088009278026, 1.137609472543832
2.1687311776306153, 1.0809268508430332
2.1891121805485083, 1.0714231777434984
2.2094892390106398, 1.0714231777434984
2.229859887732159, 1.0868666465302432
2.2502290572827683, 1.1058739927293129
2.270596254605497, 1.1296331754781508
2.290960000529435, 1.1617080721890818
2.3113212811685218, 1.199722764587222
2.331678124294877, 1.248429089222339
2.3487548947901913, 1.289534093483351
2.3673006365392535, 1.338395306774828
2.3842461820579843, 1.4235342660812726
2.3994887424558193, 1.5204717316965302
2.4045498736429582, 1.6003025857326247
2.404514965209472, 1.6844100926635104
2.3976979595402543, 1.743808049535604
2.3811998535771908, 1.820557491289199
2.3619957043320916, 1.8459725353556062
2.3416151944711694, 1.8542882493176993
2.3212445457496496, 1.838844780530955
2.3008778414838913, 1.8138976386446757
2.2796104609283763, 1.7763548936904665
2.2601570880812747, 1.7335124036777745
2.2398055042292673, 1.6721345149099442
2.2194588509469613, 1.5988770347676944
2.199113348130919, 1.522847649971414
2.180470864089756, 1.4349386738007146
2.165218393246821, 1.3618791868480389
2.149288521293744, 1.2844004919040795
