gamma, norm
2.412666380262689, 1.68298454169858
2.418905079411624, 1.7895444763271167
2.4282112831946163, 1.8697317181044437
2.4417616720709154, 1.952413674070399
2.4604123408577827, 2.020602528559563
2.480776579838691, 2.051489466133052
2.5011511730159715, 2.0574292618202614
2.5215371065035654, 2.0360459973463074
2.5419319150166224, 1.9932794683983994
2.562333626327261, 1.9338815115263057
2.581043363339152, 1.8597528613499321
2.5963582551945072, 1.7824167215024653
2.6082756886913847, 1.7081692754123479
2.61849774579642, 1.6273880540662997
2.623625291757438, 1.5472008122889727
2.6270503120005464, 1.4777052027486226
2.618590046061231, 1.4050021035371794
2.599940560611092, 1.3339621471181546
2.579578786915035, 1.2971354138574562
2.559211589592306, 1.2733762311086183
2.538838475585936, 1.2638725580090835
2.518460431009864, 1.266248476283967
2.498077455864091, 1.2805039859332696
2.477691522376497, 1.3018872504072236
2.457300165262231, 1.3363380653930386
2.4368989470085625, 1.3945480631276905
2.419542158322748, 1.4819818556434132
2.411352679271436, 1.575117852018857
2.412666380262689, 1.68298454169858
