norm, gamma, chi2
0.0, 1.6, 7.603457755815876
0.21052631578947367, 1.6, 7.598693482364795
0.42105263157894735, 1.6, 7.593932183832727
0.631578947368421, 1.6, 7.589173859772854
0.8421052631578947, 1.6, 7.5844185097203205
1.0526315789473684, 1.6, 7.579666133222011
1.263157894736842, 1.6, 7.574916729817891
1.4736842105263157, 1.6, 7.570170299052174
1.6842105263157894, 1.6, 7.565426840463004
1.894736842105263, 1.6, 7.560686353597349
2.1052631578947367, 1.6, 7.55594883799462
2.3157894736842106, 1.6, 7.551214293199625
2.526315789473684, 1.6, 7.54648271875171
2.7368421052631575, 1.6, 7.54175411420133
2.9473684210526314, 1.6, 7.537028479082338
3.1578947368421053, 1.6, 7.532305812945117
3.3684210526315788, 1.6, 7.527586115331535
3.578947368421052, 1.6, 7.522869385782851
3.789473684210526, 1.6, 7.518155623849275
4.0, 1.6, 7.513444829068108
0.0, 1.6517241379310346, 7.603457755815876
0.21052631578947367, 1.6517241379310346, 7.596971985874845
0.42105263157894735, 1.6517241379310346, 7.590491250057684
0.631578947368421, 1.6517241379310346, 7.584015547274693
0.8421052631578947, 1.6517241379310346, 7.577544876426586
1.0526315789473684, 1.6517241379310346, 7.571079236419166
1.263157894736842, 1.6517241379310346, 7.564618626160177
1.4736842105263157, 1.6517241379310346, 7.558163044555689
1.6842105263157894, 1.6517241379310346, 7.551712490505654
1.894736842105263, 1.6517241379310346, 7.545266962923559
2.1052631578947367, 1.6517241379310346, 7.538826460714617
2.3157894736842106, 1.6517241379310346, 7.532390982786492
2.526315789473684, 1.6517241379310346, 7.525960528047763
2.7368421052631575, 1.6517241379310346, 7.519535095409562
2.9473684210526314, 1.6517241379310346, 7.513114683775864
3.1578947368421053, 1.6517241379310346, 7.506699292065237
3.3684210526315788, 1.6517241379310346, 7.500288919182012
3.578947368421052, 1.6517241379310346, 7.493883564038182
3.789473684210526, 1.6517241379310346, 7.487483225546216
4.0, 1.6517241379310346, 7.481087902619936
0.0, 1.703448275862069, 7.603457755815876
0.21052631578947367, 1.703448275862069, 7.594591448876508
0.42105263157894735, 1.703448275862069, 7.5857338935378165
0.631578947368421, 1.703448275862069, 7.576885087113563
0.8421052631578947, 1.703448275862069, 7.568045026932253
1.0526315789473684, 1.703448275862069, 7.55921371030371
1.263157894736842, 1.703448275862069, 7.550391134561205
1.4736842105263157, 1.703448275862069, 7.541577297015051
1.6842105263157894, 1.703448275862069, 7.532772195003623
1.894736842105263, 1.703448275862069, 7.523975825842516
2.1052631578947367, 1.703448275862069, 7.5151881868694055
2.3157894736842106, 1.703448275862069, 7.506409275417056
2.526315789473684, 1.703448275862069, 7.497639088810814
2.7368421052631575, 1.703448275862069, 7.488877624383169
2.9473684210526314, 1.703448275862069, 7.480124879488333
3.1578947368421053, 1.703448275862069, 7.471380851447158
3.3684210526315788, 1.703448275862069, 7.462645537605073
3.578947368421052, 1.703448275862069, 7.453918935315508
3.789473684210526, 1.703448275862069, 7.445201041905835
4.0, 1.703448275862069, 7.436491854737153
0.0, 1.7551724137931035, 7.603457755815876
0.21052631578947367, 1.7551724137931035, 7.591289548616906
0.42105263157894735, 1.7551724137931035, 7.579136900506721
0.631578947368421, 1.7551724137931035, 7.566999804811939
0.8421052631578947, 1.7551724137931035, 7.554878254856016
1.0526315789473684, 1.7551724137931035, 7.542772243971486
1.263157894736842, 1.7551724137931035, 7.53068176549772
1.4736842105263157, 1.7551724137931035, 7.518606812775889
1.6842105263157894, 1.7551724137931035, 7.506547379164991
1.894736842105263, 1.7551724137931035, 7.49450345801853
2.1052631578947367, 1.7551724137931035, 7.482475042703571
2.3157894736842106, 1.7551724137931035, 7.470462126580655
2.526315789473684, 1.7551724137931035, 7.458464703040256
2.7368421052631575, 1.7551724137931035, 7.446482765464034
