gamma, norm
2.596388578198171, 1.7093572345497896
2.6082214524246687, 1.838844780530955
2.6200708440596663, 1.9285356954078172
2.6353188773898695, 2.01228681459747
2.6522689926867087, 2.086415464773843
2.669923941485107, 2.1759581881533108
2.6946454642655353, 2.2688859882849166
2.7166865900019044, 2.3508551687684065
2.737037023387648, 2.4150049621902685
2.75823502170507, 2.4827186330244557
2.7811325873985804, 2.5468684264463173
2.7997908492627883, 2.5967627102188766
2.8225221561459657, 2.6523591978511565
2.8455948556752713, 2.7036790325886457
2.868669921878033, 2.7492966634664144
2.8922553020448953, 2.7927759678967874
2.9134680920714215, 2.824850864607718
2.9358704313441186, 2.8547874348712536
2.9592928068766504, 2.881872903204928
2.980681026573154, 2.9004050657490215
3.0017316994678973, 2.913947799915859
3.0170130141435854, 2.917511677328185
3.0443975650429103, 2.9285714285714293
3.074748013119625, 2.917511677328185
3.094277506650078, 2.913947799915859
3.1128952399029273, 2.8919860627177707
3.1365853658536587, 2.8135888501742166
3.145344703697176, 2.709059233449478
3.149138681381255, 2.567944250871081
3.1466983012242578, 2.4477351916376313
3.145500888027224, 2.3327526132404186
3.141828387044293, 2.1811846689895473
3.1381407014737186, 2.066202090592335
3.113281362274434, 1.9616724738675964
3.094985043402235, 1.8911149825783977
3.078590899144931, 1.8412206988058388
3.0573884633147776, 1.7841986602086282
3.038727243108749, 1.7414321312607206
3.015823760731597, 1.6915378474881613
2.9927486945288346, 1.6459202166103934
2.9700108792936515, 1.6060047895923457
2.9479505243354467, 1.5703660154690895
2.9275852992405986, 1.5418549961704842
2.9060890014562393, 1.5109680585969953
2.8848177348730535, 1.4834074066083436
2.8642245202352106, 1.458697856549552
2.8440813679997157, 1.440640877660436
2.822355601501451, 1.4171192867390863
2.8002878506886937, 1.3992998996774584
2.7799167089102044, 1.3850443900281557
2.7612421761659816, 1.3743527577911787
2.7391714670114036, 1.3636611255542017
2.704196766668386, 1.349405615904899
2.6858574140524683, 1.349405615904899
2.657663233162878, 1.3636611255542017
2.6355792114701058, 1.3850443900281557
2.611708401686574, 1.4390243902439033
2.596234902806145, 1.5347272413458328
2.596388578198171, 1.7093572345497896
