norm, gamma, chi2
0.0, 3.1, 0.0
0.21052631578947367, 3.1, 502.6048091264745
0.42105263157894735, 3.1, 1785.4978358680414
0.631578947368421, 3.1, 3637.85108455317
0.8421052631578947, 3.1, 5934.418983512462
1.0526315789473684, 3.1, 8591.804053817852
1.263157894736842, 3.1, 11550.517255912551
1.4736842105263157, 3.1, 14766.088150422664
1.6842105263157894, 3.1, 18204.112538838137
1.894736842105263, 3.1, 21837.26165945213
2.1052631578947367, 3.1, 25643.365257447593
2.3157894736842106, 3.1, 29604.125203707103
2.526315789473684, 3.1, 33704.22001746534
2.7368421052631575, 3.1, 37930.662501644794
2.9473684210526314, 3.1, 42272.32723097915
3.1578947368421053, 3.1, 46719.59548313255
3.3684210526315788, 3.1, 51264.083469660036
3.578947368421052, 3.1, 55898.43096257349
3.789473684210526, 3.1, 60616.13455782324
4.0, 3.1, 65411.414490890485
0.0, 3.0473684210526315, 0.0
0.21052631578947367, 3.0473684210526315, 215.8725046305774
0.42105263157894735, 3.0473684210526315, 789.429107260246
0.631578947368421, 3.0473684210526315, 1643.9830354725123
0.8421052631578947, 3.0473684210526315, 2729.240180773004
1.0526315789473684, 3.0473684210526315, 4009.4213375122927
1.263157894736842, 3.0473684210526315, 5457.694223068063
1.4736842105263157, 3.0473684210526315, 7053.172430611567
1.6842105263157894, 3.0473684210526315, 8779.13852808634
1.894736842105263, 3.0473684210526315, 10621.918137549146
2.1052631578947367, 3.0473684210526315, 12570.128907095728
2.3157894736842106, 3.0473684210526315, 14614.15894465669
2.526315789473684, 3.0473684210526315, 16745.792631703258
2.7368421052631575, 3.0473684210526315, 18957.934870553152
2.9473684210526314, 3.0473684210526315, 21244.40323840769
3.1578947368421053, 3.0473684210526315, 23599.76828450738
3.3684210526315788, 3.0473684210526315, 26019.228764387142
3.578947368421052, 3.0473684210526315, 28498.51274467307
3.789473684210526, 3.0473684210526315, 31033.79820580478
4.0, 3.0473684210526315, 33621.64857040436
0.0, 2.9947368421052634, 0.0
0.21052631578947367, 2.9947368421052634, 93.03542492061888
0.42105263157894735, 2.9947368421052634, 347.91037892880195
0.631578947368421, 2.9947368421052634, 737.4020932793937
0.8421052631578947, 2.9947368421052634, 1242.1097541168904
1.0526315789473684, 2.9947368421052634, 1847.4174079046754
1.263157894736842, 2.9947368421052634, 2541.875552469642
1.4736842105263157, 2.9947368421052634, 3316.2518401953
1.6842105263157894, 2.9947368421052634, 4162.933690144434
1.894736842105263, 2.9947368421052634, 5075.53160999464
2.1052631578947367, 2.9947368421052634, 6048.604405004877
2.3157894736842106, 2.9947368421052634, 7077.46220171687
2.526315789473684, 2.9947368421052634, 8158.021216698906
2.7368421052631575, 2.9947368421052634, 9286.694119192778
2.9473684210526314, 2.9947368421052634, 10460.30558666966
3.1578947368421053, 2.9947368421052634, 11676.026131768613
3.3684210526315788, 2.9947368421052634, 12931.319462884378
3.578947368421052, 2.9947368421052634, 14223.900055154467
3.789473684210526, 2.9947368421052634, 15551.698550292735
4.0, 2.9947368421052634, 16912.8332459738
0.0, 2.942105263157895, 0.0
0.21052631578947367, 2.942105263157895, 40.37566312168856
0.42105263157894735, 2.942105263157895, 153.58151612953384
0.631578947368421, 2.942105263157895, 330.10422841735266
0.8421052631578947, 2.942105263157895, 562.667071615076
1.0526315789473684, 2.942105263157895, 845.5012633301437
