e, mu, tau, chi2
0.0, 0.0, 1.0, 39.857787332830775
0.0, 0.034482758620689655, 0.9655172413793104, 32.37153582051397
0.0, 0.06896551724137931, 0.9310344827586207, 25.73282402759621
0.0, 0.10344827586206896, 0.896551724137931, 19.93267109865368
0.0, 0.13793103448275862, 0.8620689655172413, 14.962294477179663
0.0, 0.1724137931034483, 0.8275862068965517, 10.813103389961718
0.0, 0.20689655172413793, 0.7931034482758621, 7.476692632566673
0.0, 0.24137931034482757, 0.7586206896551724, 4.944836639228582
0.0, 0.27586206896551724, 0.7241379310344828, 3.209483821646595
0.0, 0.3103448275862069, 0.6896551724137931, 2.262751162184707
0.0, 0.3448275862068966, 0.6551724137931034, 2.0969190478648936
0.0, 0.3793103448275862, 0.6206896551724138, 2.704426332698686
0.0, 0.41379310344827586, 0.5862068965517242, 4.0778656163756395
0.0, 0.4482758620689655, 0.5517241379310345, 6.209978728452263
0.0, 0.48275862068965514, 0.5172413793103449, 9.093652407673028
0.0, 0.5172413793103449, 0.48275862068965514, 12.72191416677798
0.0, 0.5517241379310345, 0.4482758620689655, 17.08792833391106
0.0, 0.5862068965517241, 0.4137931034482759, 22.184992262055275
0.0, 0.6206896551724138, 0.3793103448275862, 28.0065326988004
0.0, 0.6551724137931034, 0.3448275862068966, 34.54610230893396
0.0, 0.6896551724137931, 0.31034482758620685, 41.79737634310345
0.0, 0.7241379310344828, 0.27586206896551724, 49.7541494460173
0.0, 0.7586206896551724, 0.24137931034482762, 58.410332598278934
0.0, 0.7931034482758621, 0.2068965517241379, 67.75995018615713
0.0, 0.8275862068965517, 0.1724137931034483, 77.79713719413608
0.0, 0.8620689655172413, 0.13793103448275867, 88.51613651539611
0.0, 0.896551724137931, 0.10344827586206895, 99.9112963755923
0.0, 0.9310344827586207, 0.06896551724137934, 111.97706786584305
0.0, 0.9655172413793103, 0.034482758620689724, 124.70800258100898
0.0, 1.0, 0.0, 138.09875035962756
0.034482758620689655, 0.0, 0.9655172413793104, 39.424114925746814
0.034482758620689655, 0.034482758620689655, 0.9310344827586208, 31.940459210291607
0.034482758620689655, 0.06896551724137931, 0.896551724137931, 25.304412590384626
0.034482758620689655, 0.10344827586206896, 0.8620689655172414, 19.5069961887814
0.034482758620689655, 0.13793103448275862, 0.8275862068965518, 14.539429477030932
0.034482758620689655, 0.1724137931034483, 0.7931034482758621, 10.393123762773197
0.034482758620689655, 0.20689655172413793, 0.7586206896551725, 7.05967597813645
0.034482758620689655, 0.24137931034482757, 0.7241379310344829, 4.530862752742387
0.034482758620689655, 0.27586206896551724, 0.6896551724137931, 2.798634755728738
0.034482758620689655, 0.3103448275862069, 0.6551724137931034, 1.855111292263269
0.034482758620689655, 0.3448275862068966, 0.6206896551724138, 1.6925751411199839
0.034482758620689655, 0.3793103448275862, 0.5862068965517242, 2.30346762067239
0.034482758620689655, 0.41379310344827586, 0.5517241379310345, 3.6803838714496973
0.034482758620689655, 0.4482758620689655, 0.5172413793103449, 5.816068344431678
0.034482758620689655, 0.48275862068965514, 0.48275862068965525, 8.703410484604893
0.034482758620689655, 0.5172413793103449, 0.4482758620689655, 12.335440600342675
0.034482758620689655, 0.5517241379310345, 0.4137931034482759, 16.70532590953597
0.034482758620689655, 0.5862068965517241, 0.3793103448275863, 21.806366754082653
0.034482758620689655, 0.6206896551724138, 0.3448275862068966, 27.63199297498347
0.034482758620689655, 0.6551724137931034, 0.31034482758620696, 34.17576044054522
0.034482758620689655, 0.6896551724137931, 0.27586206896551724, 41.43134772102151
0.034482758620689655, 0.7241379310344828, 0.24137931034482762, 49.39255290317336
0.034482758620689655, 0.7586206896551724, 0.206896551724138, 58.05329053878873
0.034482758620689655, 0.7931034482758621, 0.1724137931034483, 67.4075887216331
0.034482758620689655, 0.8275862068965517, 0.13793103448275867, 77.4495862875976
0.034482758620689655, 0.8620689655172413, 0.10344827586206906, 88.17353013328795
0.034482758620689655, 0.896551724137931, 0.06896551724137934, 99.57377264845003
0.034482758620689655, 0.9310344827586207, 0.034482758620689724, 111.64476925817333
0.034482758620689655, 0.9655172413793103, 1.1102230246251565e-16, 124.38107607104902
0.03333333333333333, 0.9666666666666666, 0.0, 124.82715849621583
0.06896551724137931, 0.0, 0.9310344827586207, 39.03391484972236
0.06896551724137931, 0.034482758620689655, 0.896551724137931, 31.552931743396307
0.06896551724137931, 0.06896551724137931, 0.8620689655172413, 24.91962865893494
0.06896551724137931, 0.10344827586206896, 0.8275862068965517, 19.12502874819726
0.06896551724137931, 0.13793103448275862, 0.7931034482758621, 14.160353563997035
