gamma, norm
2.265064648457446, 2.183352930389101
2.2718086816950827, 2.2997729258584054
2.2830898251719884, 2.3948096568537562
2.29974824796529, 2.4898463878491066
2.3175485907014464, 2.56112393609562
2.3404461563949566, 2.6252737295174815
2.361316666272809, 2.6637636055705984
2.385076884441284, 2.6951257267990645
2.4057900105342656, 2.7036790325886457
2.4363536259995824, 2.7084308691384136
2.463193675226368, 2.683721319079622
2.484770341296861, 2.6573486262284125
2.5066907666869387, 2.620997076622691
2.531504746212007, 2.5682516909202713
2.555304606160881, 2.5041018974984093
2.574007243152402, 2.447079858901199
2.599517024673738, 2.354419046180732
2.61992958323772, 2.2688859882849166
2.6420514717057983, 2.156267462055426
2.652277571877989, 2.0657449757823545
2.6641908143906203, 2.001595182360493
2.6710231048259128, 1.9053704922277004
2.671068959124136, 1.7948902924456052
2.6626095806873673, 1.7200488667867666
2.6481965393361033, 1.6701545830142077
2.6241609981555, 1.6202602992416484
2.598136218628848, 1.5899673412368807
2.578613381367492, 1.5774937702937408
2.553997019076058, 1.5632382606444382
2.5387142252294597, 1.5632382606444382
2.5108024783416263, 1.5592334494773525
2.477583049843065, 1.5632382606444382
2.4606021677912886, 1.5632382606444382
2.428332575209272, 1.5774937702937408
2.398891157408004, 1.596501116492811
2.373973044250842, 1.6273880540662997
2.3529031421342634, 1.6601757262596961
2.3286561781248616, 1.7105451936872318
2.305985911694588, 1.7806347827963025
2.2889747066391477, 1.8536942697489787
2.275352775196481, 1.9433851846258405
2.2668204243281305, 2.044361711308401
2.265064648457446, 2.183352930389101
